decision_tree_acc,decision_tree_prec,decision_tree_rec,jsm_classical_acc,jsm_classical_prec,jsm_classical_rec,jsm_dirac_acc,jsm_dirac_prec,jsm_dirac_rec,min_support,n_rules,runtime,date
0.901,0.813,0.953,0.848,0.738,0.922,N/A,N/A,N/A,0.17769481649436766,29,5.240269899368286,2025-09-26 15:25:26
0.906,0.944,0.797,0.860,0.750,0.938,N/A,N/A,N/A,0.17911290567894472,10,9.172981977462769,2025-09-26 15:25:35
0.936,0.908,0.922,0.772,0.632,0.938,N/A,N/A,N/A,0.17722659073163027,16,9.661297082901001,2025-09-26 15:25:44
0.901,0.873,0.859,0.854,0.753,0.906,N/A,N/A,N/A,0.1792039625973066,16,9.27143120765686,2025-09-26 15:25:54
0.901,0.862,0.875,0.889,0.800,0.938,N/A,N/A,N/A,0.17660555854010251,36,8.408511638641357,2025-09-26 15:26:02
