decision_tree_acc,decision_tree_prec,decision_tree_rec,jsm_classical_acc,jsm_classical_prec,jsm_classical_rec,jsm_dirac_acc,jsm_dirac_prec,jsm_dirac_rec,min_support,n_rules,runtime,date
0.901,0.813,0.953,0.836,0.731,0.891,N/A,N/A,N/A,0.17781719207939914,44,5.181585073471069,2025-09-26 15:26:37
0.906,0.944,0.797,0.871,0.762,0.953,N/A,N/A,N/A,0.17993752523652165,25,9.154738903045654,2025-09-26 15:26:46
0.936,0.908,0.922,0.830,0.716,0.906,N/A,N/A,N/A,0.17693456403731922,24,9.604904890060425,2025-09-26 15:26:56
0.901,0.873,0.859,0.778,0.633,0.969,N/A,N/A,N/A,0.1775786613098729,12,9.249639511108398,2025-09-26 15:27:05
0.901,0.862,0.875,0.906,0.833,0.938,N/A,N/A,N/A,0.17889233679172492,21,8.39579725265503,2025-09-26 15:27:13
