decision_tree_acc,decision_tree_prec,decision_tree_rec,jsm_classical_acc,jsm_classical_prec,jsm_classical_rec,jsm_dirac_acc,jsm_dirac_prec,jsm_dirac_rec,min_support,n_rules,runtime,date
0.901,0.813,0.953,0.737,0.646,0.656,N/A,N/A,N/A,0.6634372190969875,204,5.427901029586792,2025-09-27 14:36:45
0.906,0.944,0.797,0.860,0.763,0.906,N/A,N/A,N/A,0.6913643292478003,241,9.302732706069946,2025-09-27 14:36:54
0.936,0.908,0.922,0.830,0.716,0.906,N/A,N/A,N/A,0.719010657896167,268,9.722887992858887,2025-09-27 14:37:04
0.901,0.873,0.859,0.854,0.753,0.906,N/A,N/A,N/A,0.7333301868934122,299,9.25230097770691,2025-09-27 14:37:13
0.901,0.862,0.875,0.877,0.772,0.953,N/A,N/A,N/A,0.7400061488511219,309,8.360781908035278,2025-09-27 14:37:22
0.860,0.794,0.844,0.825,0.707,0.906,N/A,N/A,N/A,0.7549796202247587,346,6.389174938201904,2025-09-27 14:37:28
0.936,0.934,0.891,0.842,0.728,0.922,N/A,N/A,N/A,0.7570726612900389,370,6.019375562667847,2025-09-27 14:37:34
0.947,0.910,0.953,0.830,0.706,0.938,N/A,N/A,N/A,0.7958075055135159,382,7.934065103530884,2025-09-27 14:37:42
0.877,0.841,0.828,0.889,0.792,0.953,N/A,N/A,N/A,0.8236800695756984,390,6.639559268951416,2025-09-27 14:37:49
0.906,0.853,0.906,0.854,0.741,0.938,N/A,N/A,N/A,0.8726443349932766,396,7.664758682250977,2025-09-27 14:37:56
